Lead Owner,Interest Level,Lead Location(Auto),Creation Source,Marketing Source,is_india_location,days_since_next_activity,next_activity_hour,Days_Since_Update,Update_Hour,Update_DayOfWeek,hour_of_day,day_of_week,is_student,creation_source_encoded
1,1,Unknown,2,42,0,-1.0,-1.0,991,13,3,13,3,0,2
19,1,Unknown,0,42,0,0.0,0.0,834,10,6,17,3,0,0
19,1,Unknown,0,42,0,0.0,0.0,894,10,2,13,0,0,0
1,1,Unknown,0,42,0,56.0,1.0,1274,1,0,20,5,0,0
2,1,IN,0,13,0,114.0,0.0,910,13,0,23,0,0,0
9,0,Unknown,0,4,0,187.0,0.0,873,10,2,13,4,0,0
18,0,CA,0,42,0,-1.0,-1.0,844,20,2,11,2,0,0
19,1,Unknown,0,42,0,2.0,0.0,1076,23,1,16,5,0,0
2,1,RO,0,6,0,167.0,0.0,917,10,0,22,2,0,0
1,1,Unknown,0,42,0,0.0,0.0,1055,16,2,12,1,0,0
21,0,IN,0,13,0,7.0,0.0,1081,11,4,14,6,0,0
2,0,Unknown,0,13,0,-1.0,-1.0,1187,10,3,13,2,0,0
17,0,Unknown,0,13,0,0.0,0.0,981,16,6,7,5,0,0
4,0,Unknown,0,4,0,9.0,0.0,886,23,2,23,6,0,0
4,1,Unknown,0,19,0,396.0,0.0,832,18,0,16,2,0,0
21,1,IN,0,10,0,-1.0,-1.0,989,16,5,20,2,0,0
20,0,Unknown,0,42,0,10.0,18.0,1034,16,2,9,6,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,1160,15,2,7,1,0,0
4,0,Unknown,0,4,0,28.0,0.0,1061,17,3,0,2,0,0
21,0,IN,0,13,0,-1.0,-1.0,922,15,2,16,0,0,0
12,1,Unknown,0,42,0,-2.0,0.0,1076,1,2,3,0,1,0
7,1,Unknown,0,42,0,67.0,0.0,812,17,0,16,3,0,0
19,1,IN,0,42,0,-1.0,-1.0,818,13,1,15,6,0,0
21,0,IN,0,22,0,-1.0,-1.0,1035,15,1,20,4,0,0
1,0,Unknown,0,42,0,129.0,0.0,881,6,1,17,4,0,0
18,0,Unknown,0,13,0,-1.0,-1.0,1021,20,0,22,4,0,0
7,1,Unknown,0,42,0,6.0,0.0,812,17,0,8,5,0,0
19,1,Unknown,0,19,0,0.0,0.0,1145,16,3,9,2,0,0
18,0,Unknown,0,13,0,-1.0,-1.0,895,19,0,22,3,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,853,15,1,20,6,0,0
19,1,Unknown,0,42,0,0.0,0.0,868,14,0,9,6,0,0
17,0,Unknown,0,19,0,1.0,0.0,1062,17,2,13,5,0,0
20,1,Unknown,0,42,0,-1.0,-1.0,932,15,6,9,4,1,0
16,0,Unknown,2,42,0,-1.0,-1.0,1337,17,0,15,0,0,2
12,1,Unknown,2,42,0,-1.0,0.0,1133,20,0,20,0,0,2
4,0,Unknown,0,4,0,12.0,0.0,1061,17,3,11,4,0,0
6,1,Unknown,0,13,0,0.0,0.0,797,16,1,23,2,0,0
21,1,in,0,42,0,-1.0,-1.0,999,17,2,10,4,0,0
2,1,Unknown,0,10,0,-1.0,-1.0,1178,21,4,0,1,0,0
20,1,ID,0,42,0,-1.0,-1.0,863,16,5,4,3,0,0
4,1,Unknown,0,4,0,47.0,0.0,1095,10,4,12,1,0,0
5,0,IN,0,19,0,0.0,0.0,822,10,4,12,1,0,0
12,1,Unknown,0,42,0,306.0,0.0,837,5,3,10,3,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1021,20,0,22,4,0,0
2,1,IN,0,13,0,14.0,20.0,1093,9,6,14,2,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,919,19,4,6,4,0,0
